Group,Participant,Task,Success
US,1,1,0
US,1,2,1
US,1,3,0
US,1,4,1
US,2,1,1
US,2,2,1
US,2,3,1
US,2,4,0
US,3,1,1
US,3,2,1
US,3,3,0
US,3,4,1
US,4,1,0
US,4,2,1
US,4,3,1
US,4,4,1
US,5,1,0
US,5,2,1
US,5,3,1
US,5,4,1
US,6,1,1
US,6,2,1
US,6,3,1
US,6,4,0
US,7,1,0
US,7,2,1
US,7,3,1
US,7,4,0
US,8,1,1
US,8,2,0
US,8,3,0
US,8,4,0
THEM,1,1,0
THEM,1,2,0
THEM,1,3,1
THEM,1,4,0
THEM,2,1,1
THEM,2,2,1
THEM,2,3,0
THEM,2,4,1
THEM,3,1,1
THEM,3,2,1
THEM,3,3,0
THEM,3,4,0
THEM,4,1,1
THEM,4,2,1
THEM,4,3,0
THEM,4,4,1
THEM,5,1,0
THEM,5,2,0
THEM,5,3,0
THEM,5,4,0
THEM,6,1,1
THEM,6,2,0
THEM,6,3,0
THEM,6,4,1
THEM,7,1,0
THEM,7,2,1
THEM,7,3,1
THEM,7,4,1
THEM,8,1,0
THEM,8,2,1
THEM,8,3,0
THEM,8,4,1
